affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
15,"['TT0012', 'TT0013', 'TT0016', 'TT0017', 'TT0032', 'TT0033', 'TT0036', 'TT0037', 'TT0052', 'TT0053', 'TT0056', 'TT0073', 'TT0074', 'TT0093', 'TT0094']",0.15,sw0013,sw0015,l_sw0013_sw0015,15,True,True,15,l_sw0013_sw0015,2,S1
15,"['TT0014', 'TT0015', 'TT0018', 'TT0019', 'TT0034', 'TT0035', 'TT0038', 'TT0039', 'TT0054', 'TT0055', 'TT0058', 'TT0075', 'TT0076', 'TT0095', 'TT0096']",0.15,sw0016,sw0018,l_sw0016_sw0018,15,True,True,15,l_sw0016_sw0018,2,S1
15,"['TT0003', 'TT0006', 'TT0007', 'TT0019', 'TT0022', 'TT0023', 'TT0026', 'TT0039', 'TT0042', 'TT0045', 'TT0059', 'TT0064', 'TT0079', 'TT0083', 'TT0099']",0.15,sw0026,sw0028,l_sw0026_sw0028,15,True,True,15,l_sw0026_sw0028,3,S1
16,"['TT0001', 'TT0002', 'TT0016', 'TT0017', 'TT0020', 'TT0021', 'TT0036', 'TT0037', 'TT0040', 'TT0056', 'TT0057', 'TT0060', 'TT0077', 'TT0078', 'TT0097', 'TT0098']",0.16,sw0019,sw0021,l_sw0019_sw0021,16,True,True,16,l_sw0019_sw0021,3,S1
17,"['TT0004', 'TT0005', 'TT0008', 'TT0009', 'TT0024', 'TT0025', 'TT0028', 'TT0029', 'TT0044', 'TT0045', 'TT0048', 'TT0064', 'TT0065', 'TT0066', 'TT0084', 'TT0085', 'TT0086']",0.17,sw0003,sw0005,l_sw0003_sw0005,17,True,True,17,l_sw0003_sw0005,3,S1
17,"['TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0026', 'TT0027', 'TT0030', 'TT0031', 'TT0046', 'TT0047', 'TT0050', 'TT0066', 'TT0067', 'TT0068', 'TT0086', 'TT0087', 'TT0088']",0.17,sw0006,sw0008,l_sw0006_sw0008,17,True,True,17,l_sw0006_sw0008,3,S1
17,"['TT0008', 'TT0009', 'TT0012', 'TT0013', 'TT0028', 'TT0029', 'TT0032', 'TT0033', 'TT0048', 'TT0049', 'TT0052', 'TT0068', 'TT0069', 'TT0070', 'TT0088', 'TT0089', 'TT0090']",0.17,sw0009,sw0011,l_sw0009_sw0011,17,True,True,17,l_sw0009_sw0011,3,S1
17,"['TT0010', 'TT0011', 'TT0014', 'TT0015', 'TT0030', 'TT0031', 'TT0034', 'TT0035', 'TT0050', 'TT0051', 'TT0054', 'TT0070', 'TT0071', 'TT0072', 'TT0090', 'TT0091', 'TT0092']",0.17,sw0012,sw0014,l_sw0012_sw0014,17,True,True,17,l_sw0012_sw0014,3,S1
17,"['TT0011', 'TT0014', 'TT0015', 'TT0018', 'TT0019', 'TT0031', 'TT0034', 'TT0035', 'TT0038', 'TT0051', 'TT0054', 'TT0055', 'TT0071', 'TT0075', 'TT0076', 'TT0091', 'TT0095']",0.17,sw0014,sw0016,l_sw0014_sw0016,17,True,True,17,l_sw0014_sw0016,3,S1
17,"['TT0014', 'TT0015', 'TT0018', 'TT0019', 'TT0034', 'TT0035', 'TT0038', 'TT0039', 'TT0054', 'TT0055', 'TT0058', 'TT0074', 'TT0075', 'TT0076', 'TT0094', 'TT0095', 'TT0096']",0.17,sw0018,sw0020,l_sw0018_sw0020,17,True,True,17,l_sw0018_sw0020,3,S1
17,"['TT0003', 'TT0015', 'TT0018', 'TT0019', 'TT0022', 'TT0035', 'TT0038', 'TT0039', 'TT0041', 'TT0055', 'TT0058', 'TT0059', 'TT0075', 'TT0079', 'TT0080', 'TT0095', 'TT0099']",0.17,sw0020,sw0022,l_sw0020_sw0022,17,True,True,17,l_sw0020_sw0022,3,S1
18,"['TT0003', 'TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0023', 'TT0026', 'TT0027', 'TT0030', 'TT0043', 'TT0046', 'TT0047', 'TT0049', 'TT0063', 'TT0067', 'TT0068', 'TT0083', 'TT0087']",0.18,sw0002,sw0004,l_sw0002_sw0004,18,True,True,18,l_sw0002_sw0004,3,S1
18,"['TT0005', 'TT0008', 'TT0009', 'TT0012', 'TT0013', 'TT0025', 'TT0028', 'TT0029', 'TT0032', 'TT0045', 'TT0048', 'TT0049', 'TT0051', 'TT0065', 'TT0069', 'TT0070', 'TT0085', 'TT0089']",0.18,sw0005,sw0007,l_sw0005_sw0007,18,True,True,18,l_sw0005_sw0007,4,S1
