case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured50_auto:PF:l_sw02_sw03,structured50_auto,50,PF,,50,280,281,1335,394,394,10,2345.635217,SAT,1
structured50_auto:PF:l_sw03_sw04,structured50_auto,50,PF,,50,282,283,1379,432,432,10,2278.889475,SAT,1
structured50_auto:PF:l_sw03_sw13,structured50_auto,50,PF,,50,280,281,1346,405,405,10,2068.463749,SAT,1
structured50_auto:PF:l_sw04_sw05,structured50_auto,50,PF,,50,282,283,1366,419,419,10,2315.02614,SAT,1
structured50_auto:PF:l_sw05_sw06,structured50_auto,50,PF,,50,280,281,1338,397,397,10,2148.660633,SAT,1
structured50_auto:PF:l_sw05_sw15,structured50_auto,50,PF,,50,280,281,1331,390,390,10,2222.136433,SAT,1
structured50_auto:PF:l_sw05_sw17,structured50_auto,50,PF,,50,284,285,1348,395,395,10,2155.2151209999997,SAT,1
structured50_auto:PF:l_sw06_sw07,structured50_auto,50,PF,,50,280,281,1343,402,402,10,1779.697692,SAT,1
structured50_auto:PF:l_sw07_sw08,structured50_auto,50,PF,,50,282,283,1362,415,415,10,2267.0116980000003,SAT,1
structured50_auto:PF:l_sw07_sw17,structured50_auto,50,PF,,50,280,281,1346,405,405,10,1924.800306,SAT,1
structured50_auto:PF:l_sw08_sw09,structured50_auto,50,PF,,50,282,283,1381,434,434,10,2303.248478,SAT,1
structured50_auto:PF:l_sw09_sw10,structured50_auto,50,PF,,50,280,281,1351,410,410,10,1634.147389,SAT,1
structured50_auto:PF:l_sw09_sw11,structured50_auto,50,PF,,50,288,289,1347,382,382,11,2142.776602,SAT,1
structured50_auto:PF:l_sw09_sw19,structured50_auto,50,PF,,50,284,285,1303,350,350,7,2099.330098,SAT,1
structured50_auto:PF:l_sw10_sw20,structured50_auto,50,PF,,50,280,281,1351,410,410,10,1634.762666,SAT,1
structured50_auto:PF:l_sw11_sw12,structured50_auto,50,PF,,50,280,281,1341,400,400,10,2267.017236,SAT,1
structured50_auto:PF:l_sw11_sw21,structured50_auto,50,PF,,50,284,285,1314,361,361,7,2133.430402,SAT,1
structured50_auto:PF:l_sw12_sw24,structured50_auto,50,PF,,50,280,281,1343,402,402,10,2047.11767,SAT,1
structured50_auto:PF:l_sw13_sw14,structured50_auto,50,PF,,50,280,281,1319,378,378,10,2206.0633780000003,SAT,1
structured50_auto:PF:l_sw13_sw23,structured50_auto,50,PF,,50,286,287,1376,417,417,11,1582.0864960000001,SAT,1
structured50_auto:PF:l_sw14_sw15,structured50_auto,50,PF,,50,280,281,1325,384,384,10,2259.665671,SAT,1
structured50_auto:PF:l_sw15_sw25,structured50_auto,50,PF,,50,280,281,1324,383,383,10,1891.362907,SAT,1
structured50_auto:PF:l_sw17_sw18,structured50_auto,50,PF,,50,280,281,1337,396,396,10,2248.383537,SAT,1
structured50_auto:PF:l_sw17_sw27,structured50_auto,50,PF,,50,286,287,1363,404,404,10,2158.7677479999998,SAT,1
structured50_auto:PF:l_sw18_sw19,structured50_auto,50,PF,,50,280,281,1344,403,403,10,2155.225762,SAT,1
structured50_auto:PF:l_sw19_sw20,structured50_auto,50,PF,,50,284,285,1391,438,438,11,2337.79284,SAT,1
structured50_auto:PF:l_sw19_sw29,structured50_auto,50,PF,,50,284,285,1287,334,334,7,2057.031442,SAT,1
structured50_auto:PF:l_sw20_sw22,structured50_auto,50,PF,,50,284,285,1400,447,447,11,1674.713083,SAT,1
